# y, a
-4.249483441729394428e+01 7.130401615529740411e+01
1.774484160781198128e+01 -8.721706013507271393e+01
9.259892770842645504e+00 5.584829836300727379e+00
-9.053001235468153141e+01 8.533299281699009953e+01
1.188575901764711205e+02 -1.611274570785820970e+01
-1.439308047569872713e+02 4.881805685677304041e+01
6.367313547500320681e+01 -6.845339177742701509e+01
6.497408038527173346e+01 -8.121076325054622203e+01
-3.122603753892659739e+01 -9.932821058863756036e+01
2.065727264938180952e+01 -5.934137082361083770e+01
1.132553861231739347e+02 3.049543775544566415e+01
5.320322543654331326e+01 5.563126955926571782e+01
-9.615333333122617177e+00 -5.417331853653541884e+01
-2.117929745253303864e+01 5.159450112172208947e+00
7.821573180567523309e+01 -9.204786838848826847e+01
-5.031958068162465025e+01 9.315570592519421211e+01
-3.994513834627838378e+00 -6.334813847442297430e+01
2.676659801788799342e+01 -3.858984344324625226e-01
2.046855939921126151e+02 -8.718710972225133560e+01
-5.659863187470862300e+01 2.627754454098743508e+01
2.557370105060099519e+01 8.080096613489621404e+01
1.019576405077380201e+02 4.227689368185360763e+01
2.090816647966610020e+01 6.084670085843902143e+01
-1.169588480626847229e+02 5.717652934685850141e+01
4.811052707980448595e+00 -5.723867990537939932e+00
2.517642657975800091e+01 -9.234887358442398408e+01
-1.099317317952272219e+02 8.966189600106918078e+01
-6.082408883059591176e+01 1.643626628303771042e+01
7.437680042433342464e+01 -9.404710818049611021e+01
2.554191316772145370e+01 -7.840653574733579489e+01
1.282941006770140646e+01 -7.561401086287830253e+01
1.314790418755372059e+02 -9.719617805714626968e+01
2.011733353214903275e+01 -9.138835546348434491e+01
3.336554526341240035e+01 4.392162843702163855e+01
-3.033415789741926716e+01 6.022756313205454148e+01
1.587215819050173238e+01 -9.511070397015588185e+01
-4.976659702800988327e+01 1.021470190095192265e+01
1.655746120690409029e+01 -8.710969620255733048e+01
-1.307707318706896444e+02 8.119861823563280723e+01
9.873165690493829061e+01 -5.110912357935330874e+01
-4.599412634037235392e+01 -9.779918014186887376e+01
3.911557487124241561e+01 6.119258449920235421e+01
-5.266610160449038958e+00 2.509568143733558543e+01
5.185722265995183733e+01 1.073884415924595714e+00
-1.051949752930110265e+02 3.619580240281970873e+01
-1.790202514168267456e+01 -7.945771269915780977e+01
3.883236398178554794e+01 -8.590050549508865174e+01
2.717880279931189591e+01 -7.584669843986677051e+01
-4.278337857760125473e+01 9.949443698028935046e+01
-3.109395362245974326e+01 4.198343886767901267e+00
-1.108757072061207651e+02 2.535287462994877217e+01
6.865646817215517217e+01 -6.024400856952594552e+01
-6.852506179809570597e+01 4.629393360808876423e+00
1.066408898813423889e+01 -4.638048901899003340e+01
-2.926440626790444099e+01 2.898310704444958219e+01
5.259895218337146616e+01 -8.877017265899502263e+01
-8.444458687643511041e+00 9.545397957666062894e+01
1.043827531578304502e+01 -8.531471300045841133e+01
5.964874607233871728e+01 5.796238261760987598e+01
4.575518779557938842e-01 5.512697618898084784e+01
-6.878975112830967475e+01 9.015709233861684879e+01
-1.135732222797242912e+02 5.409688487583997585e+01
-1.730396308166802442e+02 6.424689204815149424e+01
6.412158184829076291e+00 -4.005429457692039819e+01
-3.841382067629854191e+01 6.881561483183631367e+01
-4.371840657062411140e+01 -3.052885607950905467e+01
-3.950090060278232951e-01 -1.606074164724387288e+01
3.515460881881643473e+01 3.100076300080567648e+01
4.833614132864452984e+01 -8.575575569667810782e+01
7.519934973328695094e+00 6.777545811341190074e+01
-1.432639227091054579e+01 -9.145635682582400250e+01
-1.262087267864928606e+02 5.892361032088174966e+01
-8.210750766445349313e+01 8.769422578716333305e+01
6.314703490535178076e+01 -8.068813136021255161e+01
-1.032851066228485735e+02 2.326453605986999662e+01
-9.595092278798743735e+01 1.492792077416318364e+01
2.291196937789051979e+00 -5.478254984402212813e+00
4.328550272021504775e+00 -2.167911204569816164e+01
4.469379946990244434e+01 -2.399371281904643638e+01
3.581598386353024921e+01 -2.322464479474557209e+01
-7.121815347630169413e+01 3.084755762974083382e+01
2.039971146627372605e+02 3.311334828881828685e+01
4.527749626974593866e+01 2.440078933064590672e+01
-5.332797175091162245e+00 -5.623336406966119227e+01
-3.180591809087333743e+01 8.865783461969471091e+01
7.893950733653670682e+01 -2.424022529422278183e+01
-3.963820186617412844e+01 -7.184255506207696840e+01
-5.218193270075343548e+01 8.423061153500853493e+01
5.198837744219940760e+01 -6.308949307892635261e+01
1.425884023297144836e+02 -2.624485341686906281e+01
-3.738000390651837535e+00 -6.644149659828386234e+01
4.077744308133243578e+01 2.043851714780706175e+01
-6.622759839969729967e+01 6.602284314336355919e+01
1.558610412178018407e+02 -3.130657724366396621e+01
8.915165871491332439e+01 4.050199625549242910e+01
3.553476627509516561e+01 3.195509153871975627e+01
5.787651636180166292e+01 -6.819394566578280603e+01
-6.829283901647674782e+01 -4.495064804042991824e+01
-5.713860629231194821e+01 5.403763218921224620e+01
6.976556531895168689e+01 -9.121669926729310873e+00
