y,x_0,x_1
1.135374683281714567e+02,-4.890521524855773094e+01,-2.073401805544460785e+01
-2.858360077607032395e+02,-2.453698046177518677e+01,9.931484603092985708e+01
-2.343022545294589918e+02,-1.836055993336059089e+01,5.437879896794271417e+01
1.493610958453407989e+01,5.210733760177686236e+01,-3.799813026293359286e+01
3.762666435418152844e+01,-3.069175908746053949e+01,-2.964703650068751983e+01
-1.887802524376342603e+02,-7.090662870076900504e+01,9.453293694349005705e+01
-1.119787757642882653e+01,8.183568759849802632e+01,1.199142074442501382e+01
-1.747125040651430936e+02,-3.728185070065907780e+01,7.764000750477762836e+01
1.313657231139339387e+02,3.491461316445278840e+01,-2.178251047228766879e+01
-4.100860115436328357e+01,1.436824782595309102e+00,4.820700532822797868e+00
-8.083263127760974953e+01,8.560018556331047535e+01,1.427461380778531463e+01
2.504657879355260945e+02,3.366751375533601731e+01,-8.954826177869814785e+01
2.238863596813746710e+02,-3.458853918739708888e+01,-8.871967216570131143e+01
-1.448263681064333355e+02,-6.403446118724252756e+01,8.518663450020852679e+01
-7.837292992604028541e+01,8.760304458847838305e+01,4.281854148681873085e+01
-3.701294311124139114e+01,4.653752178130332595e+01,-7.650464747113574049e+00
8.474649322753117531e+01,8.626585352118962646e+01,-1.871595133183849669e+01
-1.890986665965617419e+01,3.664115410546901330e+01,2.998317361781244017e+01
1.436304749478210283e+02,1.975303573255642675e+01,-5.559212158406483439e+01
-2.238955805428500980e+02,3.647143382727574590e+01,7.561126052046921586e+01
2.133849820018359651e+02,5.934345265621368526e+01,-1.359955044038380834e+01
-4.856420425531709384e+01,8.357564383167797928e+01,5.636673554535119024e+01
2.762722676917449576e+02,4.515005566985433916e+01,-7.502906130208144475e+01
6.826089851003284537e+01,8.326168987058227344e+01,-2.245780125394077231e+01
-1.289288222007668878e+02,-4.101409089459433233e+01,2.334628294450284614e+01
9.089265200313018056e+01,-6.430754203743106245e+00,-4.893221713108732729e+01
2.161077886036994471e+02,6.779917774083560289e+01,-6.427615952806431210e+01
1.792321962853989703e+01,-5.457716586062177555e+01,3.197528920686130505e+01
2.137762440236680277e+02,-4.176750991409420521e+00,-8.531053153245942156e+01
2.268767959388531779e+02,-7.220798574607742637e+01,-7.753856327230974443e+01
-3.395791248224927017e+01,-4.443006916324094391e+00,8.059245854084366556e+00
-2.673388170248531281e+01,9.161420982071297203e+01,1.675846228469251287e+01
-8.899838699369107076e+01,5.332818216981664250e+00,8.445253776893096642e+01
1.111623144718060701e+02,8.385140328954980760e+01,-4.959822704836156504e+01
-2.612170440049097806e+02,3.652652214323077828e+01,9.285522372034716909e+01
-7.821024856802577574e+01,-5.460767059505102594e+01,4.320343970705363290e+01
-2.549099688087810875e+02,5.955202149835156433e+01,8.735023992954216965e+01
-8.162117795721405855e+01,7.074449915708248682e+01,-1.569083865955414581e+01
2.099432303226920453e+02,-9.891202622783585241e+01,-9.302693424371859976e+01
7.602268685653814373e+01,-9.721892686335999656e+01,1.778198609248988760e+01
2.660626872201336255e+02,-2.340138074529723156e+01,-7.703621006669848725e+01
-9.870248618924171069e+01,7.289080177761235291e+01,6.433140625998791506e+01
-2.207361479319158661e+02,4.749833698164169959e+01,6.806883402919291370e+01
-1.514641698274767805e+02,-1.969417930647176718e+01,4.972400025485086417e+01
-9.529062437764173410e+01,1.192588904188525589e+01,2.264751479418620761e+01
-4.073053894205813208e+01,-4.037966970927329413e+01,2.047583469696472491e+01
1.136142143700486073e+01,-1.486463207806032472e+01,7.708876966986565549e+00
-2.365845690530430545e+01,-2.654028569825058526e+00,-2.167238302021701202e-02
8.229617370505380336e+01,8.349189651100280685e+01,-4.742459565348702455e+01
-4.652779244872044728e+01,-9.006046276916327997e+01,-7.461594113331472045e+00
1.403584799455569510e+01,-1.835619546495972543e+01,-2.591303866466091677e+00
-1.145024501881954677e+02,-8.589684432499944933e+01,1.642172223311699497e+01
2.609841025779237498e+02,9.740435967115504923e+01,-5.818230880047081399e+01
-1.698422451143164267e+02,-5.752477637504109964e+01,9.222700990141387933e+01
-8.019389067155438511e+01,4.139081502424198789e+01,1.859364263123349303e+01
-1.021993440757628377e+02,-2.382951858648041821e+01,2.774809928034191842e+01
2.684584349259371265e+02,4.857138236496183481e-01,-8.204138506074916393e+01
-1.594972897616725049e+02,-4.056506661400369751e+01,6.562884683218280202e+01
-2.491748765060685855e+02,-6.490880686194290661e+01,8.089789144728200654e+01
3.374678152698514850e+02,1.766296582357156808e+01,-9.669310864158443053e+01
2.527873891344449078e+02,-2.599556464380235354e+01,-9.157409941335963310e+01
1.454876085337360223e+02,-7.454388983073204145e+01,-6.414635481258960681e+01
-2.614928975360959384e+02,-6.670828296612884856e+01,7.673769932081034995e+01
1.458598884042393138e+02,8.119040952033509484e+01,-5.291980428724771457e+01
3.070655612499007958e+01,-1.854801511259300639e+01,-5.767968520924853237e+00
1.161066064019615709e+02,6.604680354622865934e+01,-4.159847558626705677e+01
7.518515039055003513e+01,-6.523429364011133202e+01,-8.371378307874337565e+00
-8.033440164782149395e+01,8.048583261140640843e+01,1.898738494681934696e+01
4.554792071122145103e+01,-1.747733333574670667e+01,-1.886981258382864723e+01
1.147496877855506625e+02,-3.830316683057783678e+01,-3.642425381931661832e+01
-1.607772218092511594e+02,-1.698279681806434382e+01,2.763341392469007474e+01
2.796576983728269283e+02,5.905390345747423453e+01,-9.259331737442421684e+01
-1.310244305499214192e+02,4.690821950525457851e+01,5.451417255401403850e+01
-2.652734817854431526e+02,-5.111509460481777722e+01,9.701537188983357396e+01
-2.173799146860553151e+02,3.500116892456395590e+01,7.855294722816020681e+01
3.004374108287041736e+02,-5.138905989877604696e+01,-8.966082454250330613e+01
-2.642074393043662894e+02,4.194861269861368669e+01,9.145286249462139949e+01
-2.065273110820915008e+02,-9.543295647748064425e+01,8.262850473065327606e+01
-2.321201170310868349e+02,4.565474246037661032e+01,9.108106394759306568e+01
