y,x_0,x_1,x_2,x_3,x_4
1.358747677496174333e+02,-8.153228104624044192e+01,-6.274795772446582021e+01,-3.088785459139045031e+01,-2.064650515386601626e+01,7.763346800671385495e+00
5.158386910004835499e+02,-1.616109711934103643e+01,3.704390007935188578e+01,-5.910955005369651616e+01,7.562348727818908856e+01,-9.452248136041477267e+01
2.020875428536708966e+02,3.409350203568044435e+01,-1.653903952657461218e+01,1.173796568915032879e+01,-7.192261228095324554e+01,-6.037970218302424286e+01
-1.494171028834868054e+01,6.014891373510732819e+01,9.365231514387949119e+01,-3.731516436815142868e+01,3.846452313386282640e+01,7.527783045920764948e+01
2.864708931187004737e+01,7.892133270076945450e+01,-8.299115772604442043e+01,-9.218904335342352852e+01,-6.603391608708622584e+01,7.562850068588261365e+01
-6.440173990746034178e+02,-8.033063323338998885e+01,-1.577847499898956585e+01,9.157790603010039376e+01,6.633056994603407475e+00,3.837542279009466029e+01
-2.988936374729507861e+02,-3.689687379878741069e+01,3.730018553631674649e+01,6.692513437947457078e+01,-9.634234453116164332e+01,5.002886298899349526e+01
4.043022887116796937e+02,9.777221778129893437e+01,4.963313087596787909e+01,-4.391120158711896693e+01,5.785586569029769066e+01,-7.935479868447160356e+01
7.933734282110297045e+02,-1.042129476481896688e+01,8.171910061861910890e+01,-4.127717032526410179e+01,-4.244493228273024954e+01,-7.399428557634446690e+01
5.856122490022022475e+02,-9.612660842594058863e+01,3.576710658797819065e+01,-5.767437679998819533e+01,-4.689066812555475394e+01,-1.685368143932336693e+00
3.272078207978443061e+02,-8.932749097658393111e+01,1.482352109840260823e+01,-7.065428501883796741e+01,1.786110738065684700e+01,3.995167200418623565e+01
2.434646956818490935e+02,-7.953311423443483363e+01,-1.718880243608633407e+01,3.888003154554903062e+01,-1.716414609461946839e+01,-9.000930821078256372e+01
-2.340194679078139757e+02,7.179281183102318664e+00,3.275892904395774963e+01,2.977822411661719570e+00,8.891895119816265947e+01,1.731100810039858118e+01
4.680997018611827798e+01,8.068038305757670514e+01,-7.250505917075250295e+01,-7.214473054984829048e+01,6.147825774190476977e+01,-2.046463260289328900e+01
1.262530218779132554e+02,-6.692916057661344098e+01,8.550171607920677275e+01,-3.044682805089868793e+01,5.016242062723111417e+01,4.519959707009030581e+01
-8.810658675064658496e+01,7.666121824116197558e+01,2.473444141112177874e+01,5.018848680546744845e+01,-3.022033160443149313e+01,-4.601442164699478354e+01
-6.946395753746742230e+02,7.917724363921337272e+01,-1.438176202574101126e+01,9.296800942967712444e+01,3.268829956368961120e+01,2.433914404182435476e+01
3.092902050253637753e+02,-7.705080540932496547e+01,8.989785174141425728e+01,-1.001757330401188995e+01,1.567792287742635438e+01,-1.837263944774376512e+01
3.314272688654814942e+02,-5.259460395139446121e+01,8.067590411245075188e+01,1.473589733445717798e+01,-9.942593459376820419e+01,2.342898272414477390e+01
-6.269406714911999643e+02,-3.467101964558077043e+01,5.411620451521855557e+00,7.718841986215488760e+01,-2.854604799950004690e+01,8.170703018395983008e+01
