Close,Mkt-RF,SMB,HML,RMW,CMA,RF
-5.217032366014718,0.11,0.21,-0.45,0.34,-0.36,0.06
-7.339795648523106,0.72,-0.76,-0.44,0.45,-0.27,0.06
2.4750533972663913,1.52,-0.75,-0.33,0.09,-0.39,0.06
2.89927798234888,0.4,0.34,1.24,-1.12,0.28,0.06
6.102902071758898,0.57,0.2,0.59,-0.47,0.4,0.06
4.866935178405574,1.29,-0.36,-0.01,-0.35,0.37,0.06
4.21987843322591,-0.31,0.4,0.14,0.03,0.22,0.06
5.262823884350887,0.34,-0.01,0.17,-0.1,-0.2,0.06
9.230878987786827,0.44,-0.07,-0.27,0.0,-0.23,0.06
1.4083219178523398,-1.07,0.33,-0.23,0.42,0.1,0.06
-2.4303575624035956,0.16,-0.03,-0.44,0.32,-0.08,0.06
-2.846793180890972,0.35,0.58,-0.33,-0.24,-0.08,0.06
1.098826434534761,0.56,0.35,0.62,-0.49,0.23,0.05
-2.1737795641346813,0.95,-0.27,0.91,-0.66,0.96,0.05
-4.444842808194327,0.05,0.18,0.85,-0.41,0.64,0.05
-4.26327105800558,-2.64,-1.26,1.79,-0.2,0.74,0.05
-2.024147844961788,-1.37,0.77,0.63,-0.17,0.39,0.05
5.371573630218607,0.37,0.65,-0.35,0.09,0.11,0.05
-0.7843030651408234,0.02,0.42,0.44,-0.17,0.2,0.05
-3.557118953526295,-0.33,0.14,0.07,0.06,-0.09,0.05
0.40986531976920926,0.26,0.21,-0.34,0.08,-0.2,0.05
2.040698377041106,0.48,-0.08,-0.46,0.34,-0.27,0.05
-0.8000020621483084,0.48,0.0,-0.08,0.13,-0.08,0.05
6.048023576719741,-0.24,0.33,0.21,-0.19,0.0,0.05
-3.0416116429873408,-1.89,0.67,0.55,-0.26,0.19,0.05
1.9606278905081487,-0.36,0.07,0.32,-0.15,0.14,0.05
1.1537786507039405,-0.82,0.4,0.08,-0.1,0.25,0.05
-0.3801973163874761,-0.05,0.23,-0.21,-0.09,-0.27,0.05
-1.5266731042525628,-0.51,-0.13,0.33,0.07,0.16,0.05
-0.7751303731456716,1.0,-0.49,-0.3,0.24,-0.26,0.05
-3.124803550420563,-0.46,0.47,0.34,-0.54,0.31,0.05
-3.6287677948885877,-0.08,0.33,0.43,-0.56,0.47,0.05
-5.439686830885471,-0.47,0.46,0.96,-0.5,0.78,0.05
-5.751871016337917,-2.24,-0.16,1.78,-0.29,1.06,0.06
3.7555823539069833,1.07,-1.0,-0.48,0.36,-0.3,0.06
3.6197303454412744,0.22,0.42,-0.17,0.01,0.02,0.06
0.0,0.93,0.1,-0.26,0.1,-0.06,0.06
0.43660712621986786,0.77,0.13,-0.44,0.27,-0.4,0.06
-5.217032366014718,-0.99,0.66,0.52,-0.3,0.72,0.06
0.0,-0.14,0.06,0.11,-0.13,0.28,0.06
-3.2108220477171323,-0.74,0.4,0.53,-0.23,0.41,0.06
-0.9486675038808401,-0.66,0.03,0.54,0.07,0.39,0.06
-2.3921709707609984,-0.31,0.04,-0.09,0.23,0.06,0.06
2.450798255173159,0.44,-0.54,-0.05,0.4,-0.13,0.06
4.306861092381742,0.45,-0.31,-0.49,0.03,-0.26,0.06
-5.963750742010399,-1.47,0.39,0.51,-0.28,0.21,0.06
-5.365547097005196,-0.19,-0.1,0.5,-0.18,0.16,0.06
