y, x_0, x_1, x_2, x_3, x_4, x_5, x_6, x_7, x_8, x_9
5.769095655857555585e+02 -3.069175908746053949e+01 -2.964703650068751983e+01 -7.090662870076900504e+01 9.453293694349005705e+01 8.183568759849802632e+01 1.199142074442501382e+01 -3.728185070065907780e+01 7.764000750477762836e+01 3.491461316445278840e+01 -2.178251047228766879e+01
-1.337383171654222451e+03 1.436824782595309102e+00 4.820700532822797868e+00 8.560018556331047535e+01 1.427461380778531463e+01 3.366751375533601731e+01 -8.954826177869814785e+01 -3.458853918739708888e+01 -8.871967216570131143e+01 -6.403446118724252756e+01 8.518663450020852679e+01
-1.338798602318554458e+02 8.760304458847838305e+01 4.281854148681873085e+01 4.653752178130332595e+01 -7.650464747113574049e+00 8.626585352118962646e+01 -1.871595133183849669e+01 3.664115410546901330e+01 2.998317361781244017e+01 1.975303573255642675e+01 -5.559212158406483439e+01
-2.117224621183916042e+02 3.647143382727574590e+01 7.561126052046921586e+01 5.934345265621368526e+01 -1.359955044038380834e+01 8.357564383167797928e+01 5.636673554535119024e+01 4.515005566985433916e+01 -7.502906130208144475e+01 8.326168987058227344e+01 -2.245780125394077231e+01
-3.156657321525968030e+01 -4.101409089459433233e+01 2.334628294450284614e+01 -6.430754203743106245e+00 -4.893221713108732729e+01 6.779917774083560289e+01 -6.427615952806431210e+01 -5.457716586062177555e+01 3.197528920686130505e+01 -4.176750991409420521e+00 -8.531053153245942156e+01
6.416213801388787488e+02 -7.220798574607742637e+01 -7.753856327230974443e+01 -4.443006916324094391e+00 8.059245854084366556e+00 9.161420982071297203e+01 1.675846228469251287e+01 5.332818216981664250e+00 8.445253776893096642e+01 8.385140328954980760e+01 -4.959822704836156504e+01
5.832649944719406676e+01 3.652652214323077828e+01 9.285522372034716909e+01 -5.460767059505102594e+01 4.320343970705363290e+01 5.955202149835156433e+01 8.735023992954216965e+01 7.074449915708248682e+01 -1.569083865955414581e+01 -9.891202622783585241e+01 -9.302693424371859976e+01
2.651433219787828648e+02 -9.721892686335999656e+01 1.778198609248988760e+01 -2.340138074529723156e+01 -7.703621006669848725e+01 7.289080177761235291e+01 6.433140625998791506e+01 4.749833698164169959e+01 6.806883402919291370e+01 -1.969417930647176718e+01 4.972400025485086417e+01
2.756342411701307356e+02 1.192588904188525589e+01 2.264751479418620761e+01 -4.037966970927329413e+01 2.047583469696472491e+01 -1.486463207806032472e+01 7.708876966986565549e+00 -2.654028569825058526e+00 -2.167238302021701202e-02 8.349189651100280685e+01 -4.742459565348702455e+01
-3.079523405781783367e+02 -9.006046276916327997e+01 -7.461594113331472045e+00 -1.835619546495972543e+01 -2.591303866466091677e+00 -8.589684432499944933e+01 1.642172223311699497e+01 9.740435967115504923e+01 -5.818230880047081399e+01 -5.752477637504109964e+01 9.222700990141387933e+01
-5.027331244120996985e+02 4.139081502424198789e+01 1.859364263123349303e+01 -2.382951858648041821e+01 2.774809928034191842e+01 4.857138236496183481e-01 -8.204138506074916393e+01 -4.056506661400369751e+01 6.562884683218280202e+01 -6.490880686194290661e+01 8.089789144728200654e+01
8.099224196116736039e+02 1.766296582357156808e+01 -9.669310864158443053e+01 -2.599556464380235354e+01 -9.157409941335963310e+01 -7.454388983073204145e+01 -6.414635481258960681e+01 -6.670828296612884856e+01 7.673769932081034995e+01 8.119040952033509484e+01 -5.291980428724771457e+01
-9.700587547352262163e+01 -1.854801511259300639e+01 -5.767968520924853237e+00 6.604680354622865934e+01 -4.159847558626705677e+01 -6.523429364011133202e+01 -8.371378307874337565e+00 8.048583261140640843e+01 1.898738494681934696e+01 -1.747733333574670667e+01 -1.886981258382864723e+01
-6.830618320901560310e+02 -3.830316683057783678e+01 -3.642425381931661832e+01 -1.698279681806434382e+01 2.763341392469007474e+01 5.905390345747423453e+01 -9.259331737442421684e+01 4.690821950525457851e+01 5.451417255401403850e+01 -5.111509460481777722e+01 9.701537188983357396e+01
6.727281706082530945e+02 3.500116892456395590e+01 7.855294722816020681e+01 -5.138905989877604696e+01 -8.966082454250330613e+01 4.194861269861368669e+01 9.145286249462139949e+01 -9.543295647748064425e+01 8.262850473065327606e+01 4.565474246037661032e+01 9.108106394759306568e+01
-3.256882572002011784e+02 -4.537291032682790615e+01 -6.588129755883170446e+01 -3.547979643606120703e+01 -4.455230784240660569e+01 -1.879509394817972634e+00 -7.385685073331052308e+01 4.763674730150734149e+01 -7.193528530743643046e+01 1.413014156023109535e+01 6.667586642194578417e+00
6.264988446894866456e+02 -5.329539286224967043e+01 -4.621190990494966400e+00 -7.051565882081803238e+00 6.120621943650755270e+01 -9.628297772910521246e+01 4.256331692407800915e+01 -4.980132756361999213e+01 3.210531224177364606e+01 2.728919169272879230e+01 -8.860246701064515662e+01
-2.494450367287413144e+02 4.378190978252106902e+01 -3.201531353382878820e+01 9.928573671524958399e+00 4.886398578432212503e+01 -6.429745228699982817e+01 -4.985917935638403975e+01 -7.322405923204786404e+01 -6.984518402677383619e+01 8.780606815551689692e+01 9.429057733477071679e+01
-3.384740775343952350e+02 -7.148868224749263334e+01 -6.082699758691521197e+01 -7.992043230469367643e+01 -8.363750600873737540e+01 5.367513444823225655e+01 -5.792865108787397332e+01 -7.564710554942649878e+00 -8.319799277581141439e+01 -3.369954326047314908e+01 9.766516015864738165e+01
1.634164719874934804e+02 8.005440877954461598e+01 7.306572090623606641e+01 -2.314730113911207354e+01 4.011693814886220366e+01 -9.257405897395250349e+01 2.652438350916384024e-01 -7.722138261932387593e+01 4.673796558070836227e+01 -1.263583945478173121e+01 -3.460272226886407054e+01
2.938337924567019854e+02 5.030032152098124243e+01 -4.737627058440760663e+01 -2.977133771548380992e+00 -9.868787593576804795e+01 -9.894577000560640556e+01 1.353176322710143609e+01 -2.940538191371054211e+01 -2.498667616111656287e+01 -2.698058794621800871e+01 -3.819420439826892988e+01
-6.882911631453337122e+02 -6.582053742073061642e+01 9.582497255764968713e+01 5.501385382933619894e+01 9.443107282252412915e+01 5.092575630056074942e+00 -5.230913695499512528e+01 -2.972285509483810984e+00 1.784857482333657686e+01 9.651086765501304399e-02 -1.406504478514787593e+01
